Page_no,Choice_No,Goto_page,Health Effect,Text
1,0,1,0,"After a week of careful preparation the colony is ready to begin the long trek to Big Spring. 3 vehicles make up the convoy: A school bus. A roadster and a gasoline tanker. On the day Jake Bannerman will drive north in search for weapons and ammunition. His brother owned a store in (Sherman) and kept his stock of guns in the basement. Jake sets out for (Sherman) in his truck. Two hours later he radios a message from (Sherman). He has found rifles and ammunition but his truck has broken down near the gas station just outside of the town and he has gone back into town on foot. He has also found a survivor, a teenage girl, and he requests that you come to pick them up as soon as possible. Uncle Jonas agrees tells him to sit tight and wait for you to arrive. You slide behind the wheel of your roadster and with a farewell you power the car out of McKinney and speed northwards to (Sherman)."
1,1,2,0,Turn to North.
2,0,2,0,As you reach  (Sherman) you are ambushed by an armed gang forcing you to jump out of your car and take cover. One member of the gang is using a building to shoot from. You have no choice but to draw your gun an fire back. What gun do you use ?. PISTOL OR RIFLE.
2,1,300,0,Pistol. (Type North)
2,2,301,0,Rifle. (Type East)
300,0,300,-5,You are shot in the (Hand) but manage to kill him after fireing a few shots.
300,1,4,0,To continue 'turn to North.
301,0,301,0,: Rifle Your bullet strikes him in the chest spinning him away from the window. Your single shot proved fatal.
301,1,4,0,To continue 'turn to North.
4,0,4,0,You are forced to break cover as gunfire erupts from all sides. You zigzag towards the door but your manoeuvre is anticipated and a stream of bullets tears up the ground at your feet. Do you continue zig zigging or do you run straight for the door.
4,1,501,0,(North) zig zag : 
4,2,500,0,(East) direct run : 
500,0,500,-10,While you are a few feet of the doorway you feel a sharp burning sensation on your right shoulder.
500,1,6,0,TO CONTINUE GO NORTH.
501,0,500,0,You change your pattern confusing the shooters and make it into the door way.
501,1,6,0,TO CONTINUE GO NORTH.
6,0,6,0,You make it to the door but forwards and fall through the doorway. As you look up from the dusty floor you see yet another armed gang member . You draw your gun but the machine gunner disappears from view reappearing a moment later with his gun held at waist level ready to fire. What gun have you drawn ?.
6,1,700,0,(North) Shotgun 
6,2,701,0,(East) : Pistol 
700,0,700,-5,you draw your shotgun which is a perfect weapon to use in a small confined area and squeeze on the trigger you kill him but are hit in the hand. You cradle your weapon in your left hand and with your right as you work a magazine into the bottom. A moving shadow of an enemy half fills the doorway you are facing. What do you do ?.
700,1,800,0,(North) you draw your pistol 
700,2,801,0,(East) Take a chance and raise your shotgun 
701,0,701,-15,You cradle your weapon in your left hand and with your right as you work a magazine into the bottom. A moving shadow of an enemy half fills the doorway you are facing. What do you do ?.
701,1,800,0,(North) Reload and shoot 
701,2,801,0,(East) Take a chance and raise your shotgun 
800,0,800,-15,: You fire your pistol but were too slow - your bullet strikes him but you are hit in the chest. \n  Reload and shoot : This did not work out and you are hit in the hand and leg but manage to escape death but got off 2 rounds. He disappears from sight and you hear him crash down upon the broken glass that carpets the floor of the drugstore.
800,1,9,0,TO CONTINUE GO NORTH.
801,0,801,0,With the one bullet left that is chambered you drop your target without taking damage good move. He disappears from sight and you hear him crash down upon the broken glass that carpets the floor of the drugstore.
801,1,9,0,TO CONTINUE GO NORTH.
9,0,9,0,As you pull his body over you notice he held a Flick Knife that drops from his lifeless body. As you pick this up Another burst of fire echoes from across the street and once more with your pulse racing you jump to your feet and sprint down towards two doors . What what gun are you holding and what door do you take.
9,2,1000,0,(West) Left door way with shotgun : 
9,1,1001,0,(East) right doorway with pistol: 
