Page_no,Choice_No,Goto_page,Text
1,0,1,After a week of careful preparation the colony is ready to begin the long trek to Big Spring. Three vehicles have been picked to make up the convoy: the school bus your customized roadster and a gasolene tanker that was salvaged from an old drilling site at nearby Greenville. Cutter and your uncle have rigged up a square canvas canopy to hide the tanker's tell-tale cylindrical body which now holds over 5000 gallons of petroleum siphoned from the underground storage tanks at the Ewell ranch. In this fuel-starved world gasolene is the most valuable of all commodities. If the city gangs were to discover that DC1 were transporting such a precious load they would stop at nothing to capture it.  Most of the colony will be travelling aboard the bus which will be driven by your uncle. Cutter will drive the tanker and you acting as scout will drive your roadster at the head of the convoy. With the bus full of passengers luggage is limited to essential supplies only; everything else will be destroyed before leaving McKinney. At dawn on the day before the convoy is to set off a thorough check is made of the vehicles and provisions. There is enough food and water to reach your destination but apart from your personal weapons the colony has very few firearms with which to defend itself.  Long Jake Bannerman a former roustabout from Gainsville has volunteered to drive north and search for weapons and ammunition. His brother once owned a hardware store in Sherman and kept his stock of sporting guns locked in the basement. Although they may have to be dug out there is a good chance that they have survived intact. Everyone agrees that it is worth a try and so Jake equipped with a CB radio a shovel and a rusty revolver sets out for Sherman in his beat-up old truck.  Two hours later he radios a message from Sherman. He has found rifles and ammunition but his truck has broken down and he is now stranded in the town. He has also found a survivor'a teenage girl'and he requests that you come to pick them up as soon as possible. Uncle Jonas agrees. He tells him to sit tight and wait for you to arrive.  'Trust Jake to go an' maroon hi'self with a gal!' grumbles Uncle Jonas wryly. 'Cal you better git your body up to Sherman and haul 'em back here. An' no messin' with street punks on the way y'hear!'  'We'll be back in time for breakfast!' you reply cheerily as you slide behind the wheel of your roadster and fire up its throaty V-8 engine. Then with a farewell wave you power the car out of McKinney and speed northwards to Sherman along what remains of Highway 75.
1,1,204, Turn to North
9,0,9,Your bullet hits home striking the machine gunner squarely in the chest and spinning him away from the window with the force of its impact. You breathe a little easier. Then a long burst of fire echoes from inside the building causing you to duck involuntarily. But this time you are in no immediate danger. Your single shot proved fatal and in the throes of death your enemy has emptied a full magazine into the walls and shattered ceiling of the drugstore.  Remember to erase one 9mm round from your'Ammo Pouch.
9,1,251,To continue'turn to North
18,0,18,The moment you break cover gunfire erupts from all sides. In the hope of making yourself a difficult target you zigzag towards the door but your manoeuvre is anticipated and a stream of bullets tears up the ground ahead dangerously close. Long Jake shouts encouragement and you are within a few feet of the doorway when a sharp burning sensation lances your right forearm: lose 4'ENDURANCE'points.  Gritting your teeth against the sudden pain of your wound you force yourself forwards and fall headlong through the doorway.
18,1,329, Turn to North
26,0,26,Silently you unsling your shotgun and trombone a 12-gauge shell into the breach. The machine gunner disappears from view reappearing a moment later with his reloaded gun held at waist level ready to fire.  [illustration]  In one swift smooth movement you bring your gun to your shoulder and fire.  Pick a number from the'Random Number Table'and add to it your current Shooting skill total.
26,1,275,If the total is now 0'5'turn to North
26,2,111,If it is 6 or more'turn to East
40,0,40,You cradle your rifle in your left hand and with your right you work a round into the chamber. The moving shadow of your enemy half fills the window as you raise your weapon flick back the safety catch and take aim at his chest.  [illustration]  Pick a number from the'Random Number Table'and add to it your current Shooting skill total.
40,1,275,If the total is now 0'5'turn to North
40,2,180,If it is 6 or more'turn to East
54,0,54,All six bullets catch your enemy as he turns hitting him in the side and lifting him into the air with the force of their deadly impact. He disappears from sight and you hear him crash down upon the broken glass that carpets the floor of the drugstore.  Remember to erase six 9mm rounds from your'Ammo Pouch.
54,1,251,To continue'turn to North
63,0,63,As you pull yourself free from beneath Copperhead's body the Flick Knife (2) drops from his lifeless hand. (If you decide to keep this weapon remember to mark it on your'Weapons List.)  Another burst of fire echoes from across the street and once more Long Jake urges you to take cover in the store. With your pulse racing you jump to your feet and sprint head down towards the darkened doorway.  Pick a number from the'Random Number Table'and add to it your current Stealth skill total.
63,1,18,If the total is now 5 or less'turn to North
63,2,329,If it is 6 or more'turn to East
88,0,88,With practised ease you cup your pistol in both hands thumb back the safety catch and take aim at the shadow that fills half the window frame. The machine gunner is levelling his reloaded weapon to fire again when you squeeze off your first shot.  Pick a number from the'Random Number Table'and add to it your current Shooting skill total.
88,1,275,If the total is now 0'7'turn to North
88,2,9,If it is 8 or more'turn to East
109,0,109,You vault over the trunk and land feet-first in the driving seat your hand poised to switch on the ignition. The engine growls but before you can shift gears and speed away there is another burst of gunfire. It shatters the windshield and forces you to throw yourself across the passenger seat to avoid being caught in a deadly crossfire. Then a savage voice screams a command and the firing ceases. You chance a glance over the dashboard and see to your astonishment a leather-clad punk come running towards you from out of the ruins. Long Jake takes aim. He fires missing by a hand's breadth. Undeterred the grim-faced renegade leaps into the car beside you cackling like a maniac as he lunges for your throat with his flick knife.  Copperhead:'CLOSE'COMBAT'SKILL'14 ''ENDURANCE'24  Owing to the surprise of the attack you must fight the first round of combat unarmed.
109,1,63,If you win'turn to North
111,0,111,Your shotgun roars and spits out a deadly cloud of buckshot catching the ambusher full in the chest. Briefly you see him thrown backwards through the air before his lifeless body crashes down upon the rubbish-strewn floor of the derelict drugstore. You eject the spent shell but keep your gun trained on the window in case he was not alone. After a minute of silence you lower your weapon and begin to breathe a little easier.  [illustration]  Remember to erase one 12-gauge round from your'Ammo Pouch.
111,1,251,To continue'turn to North
126,0,126,With your pulse racing you jump to your feet and spring head down towards the darkened doorway.  Pick a number from the'Random Number Table'and add to it your current Stealth skill total.
126,1,18,If the total is now 7 or less'turn to North
126,2,329,If it is 8 or more'turn to East
142,0,142,Grabbing the rollbar that protects the driving compartment you pull yourself feet-first into the driving seat and reach out for the ignition. The engine growls responsively but its powerful roar is all but drowned by a sudden eruption of gunfire. Bullets shatter the windshield forcing you to throw yourself across the passenger seat to avoid being caught in a deadly crossfire. Then a savage voice screams a command and the shooting ceases. You stay down and make a grab for the gear shift but before you can speed away a leather-clad punk leaps into the car beside you cackling like a maniac as he draws his knife.  Copperhead:'CLOSE'COMBAT'SKILL'14 ''ENDURANCE'24  Owing to the speed of his attack reduce your'CLOSE COMBAT SKILL'by 2 for the first round of this combat.
142,1,63,If you win the combat'turn to North
180,0,180,You squeeze the trigger and feel the butt of your rifle kick your shoulder. Your enemy has no time to cry out as the bullet finds its mark with deadly accuracy. It passes straight through his heart killing him instantly.  [illustration]  Remember to erase one 7.62mm round from your'Ammo Pouch.
180,1,251,To continue'turn to North
