Page_no,Choice_No,Goto_page,Health Effect,Text
1,0,1,0,After a week of careful preparation the colony is ready to begin the long trek to Big Spring. 3 vehicles make up the convoy: A school bus. A roadster and a gasolene tanker. In this fuel-starved world gasolene is the most valuable of all commodities. If the city gangs were to discover we are transporting such a load they would try to capture it. On the day Long Jake Bannerman will drive north in search for weapons and ammunition. His brother owned a store in (Sherman) and kept his stock of guns in the basement. Jake  sets out for (Sherman) in his truck.  Two hours later he radios a message from (Sherman). He has found rifles and ammunition but his truck has broken down. He has also found a survivor'a teenage girl' and he requests that you come to pick them up as soon as possible. Uncle Jonas agrees tells him to sit tight and wait for you to arrive. You slide behind the wheel of your roadster and fire up then with a farewell you power the car out of McKinney and speed northwards to (Sherman).
1,1,204,0, Turn to North.
9,0,9,0,As you reach  (Sherman) you are ambushed by an armed gang forcing you to jump out of your car one member of the gang is using a building to shoot from. You have no choice but to draw your gun an fire back. Your bullet strikes him in the chest spinning him away from the window. Your single shot proved fatal. Remember to erase one 9mm round from your'Ammo Pouch.
9,1,251,0,To continue'turn to North
18,0,18,0,You are forced to break cover as gunfire erupts from all sides. You zigzag towards the door but your manoeuvre is anticipated and a stream of bullets tears up the ground. While you are a few feet of the doorway you feel a sharp burning sensation on your right forearm: // You lose 4 (HEALTH) points \\ .  Gritting your teeth against the sudden pain of your wound you force yourself forwards and fall headlong through the doorway.
18,1,329,0, Turn to North
26,0,26,0, As you look up from the dusty floor you see yet another armed gand member . You unsling your shotgun and load shell into the breach. The machine gunner disappears from view reappearing a moment later with his reloaded gun held at waist level ready to fire. In one swift smooth movement you bring your gun to your shoulder and fire.  // Pick a number from the'Random Number Table'and add to it your current Shooting skill total. \\
26,1,275,0,If the total is now 0'5'turn to North  // You miss him and take damage when he fires back. \\
26,2,111,0,If it is 6 or more'turn to East // You hit him and take 0 damage \\
40,0,40,0,You cradle your Rifle  in your left hand and with your right as you work a magazine into the bottom of your weapon. A moving shadow of an enemy half fills the doorway you are facing. As you raise your weapon and take aim at his who fires first?. // Pick a number from the'Random Number Table'and add to it your current Shooting skill total to see whos shot is fastest. \\
40,1,275,0,If the total is now 0'5'turn to North // His shot impacts you in the left sholder but one of your shots lands to his chest while five stray and strike the door frame.
